"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "HTML", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"e:\0 - TFC_Wander_Whiskers-FCT\client\.eslintrc.cjs", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\0 - TFC_Wander_Whiskers-FCT\client\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"e:\0 - TFC_Wander_Whiskers-FCT\client\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"e:\0 - TFC_Wander_Whiskers-FCT\client\jsconfig.json", "JSON with Comments", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"e:\0 - TFC_Wander_Whiskers-FCT\client\package-lock.json", "JSON", 0, 0, 11135, 0, 0, 0, 0, 0, 0, 1, 11136
"e:\0 - TFC_Wander_Whiskers-FCT\client\package.json", "JSON", 0, 0, 56, 0, 0, 0, 0, 0, 0, 1, 57
"e:\0 - TFC_Wander_Whiskers-FCT\client\postcss.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\0 - TFC_Wander_Whiskers-FCT\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 228, 0, 0, 6, 234
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\components\Animations\FadeAnimation\FadeAnimation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\components\Animations\FadeAnimation\ScrollFadeAnimation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\components\Animations\Xanimation\ScrollXAnimation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\components\Animations\Xanimation\Xanimation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\components\Animations\Yanimation\ScrollYAnimation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\components\Animations\Yanimation\Yanimation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 21, 2, 41
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\components\CustomLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 239, 0, 13, 21, 273
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\components\CustomSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 8, 45
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\components\FAQAccordion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 3, 50
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\components\FilterProvince.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
